pop,ind,lat,long,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WF,S28T20,562829,3175895,136/136,506/506,270/270,110/110,302/302,143/143,208/208,414/420,341/343,149/149,250/256,334/342,235/251
WF,S28T21,562832,3175900,136/136,506/506,270/270,110/110,302/302,143/143,210/210,422/424,335/335,165/165,268/268,328/328,235/255
WF,S28T22,562839,3175900,136/136,506/506,286/286,112/120,302/302,143/143,198/210,424/426,335/335,161/165,268/268,328/340,249/255
WF,S28T23,562839,3175904,136/136,506/506,270/270,112/124,302/302,143/143,210/210,422/424,333/345,165/165,256/256,336/346,251/255
WF,S28T25,562831,3175926,136/136,506/506,NA,110/112,302/302,143/143,210/210,424/426,333/345,149/165,266/266,334/346,251/251
WF,S28T26,562833,3175928,136/136,506/506,270/270,110/110,302/302,143/143,198/210,414/424,343/345,149/165,266/266,336/346,235/251
WF,S28T27,562846,3175953,136/136,506/510,NA,112/122,298/302,143/143,208/208,414/428,335/347,149/165,256/256,328/334,235/255
WF,S28T28,562837,3175956,136/136,506/506,270/270,110/110,298/302,143/143,208/210,424/428,335/335,165/165,268/268,328/340,251/255
WF,S28T29,562828,3175961,136/136,506/506,270/270,110/110,302/302,143/143,198/212,420/428,333/347,165/165,268/268,342/346,245/249
WF,S28T30,562826,3175968,136/136,506/506,270/270,110/110,302/302,143/143,210/212,424/428,333/333,165/165,268/268,328/346,249/251
WF,S28T31,562826,3175989,136/136,506/506,270/270,110/110,302/302,143/143,198/210,424/428,333/345,165/165,248/256,336/346,249/249
WF,S28T32,562827,3175990,136/136,506/506,270/270,110/110,302/302,143/143,210/210,424/426,333/345,165/165,256/256,334/336,235/251
WF,S28T33,561582,3175340,136/136,506/508,270/270,110/122,302/302,143/143,198/208,420/420,333/347,149/149,256/256,334/336,255/255
WF,S29T5,562881,3175823,136/136,506/506,270/270,110/118,302/302,143/143,198/210,414/422,335/345,149/165,256/256,328/336,245/251
WF,S30T1,562882,3175797,136/136,506/506,270/270,110/110,302/302,143/143,208/208,424/428,333/347,149/161,256/256,328/336,251/255
WF,S30T2,562970,3175750,136/136,506/508,NA,110/112,302/302,143/143,198/208,428/428,335/335,149/165,256/256,334/336,251/251
WF,S30T3,562971,3175765,136/136,506/506,270/286,110/110,298/302,143/143,198/208,428/428,335/335,149/165,268/268,334/340,251/255
WF,S31T1,563038,3175739,136/136,510/510,270/284,110/122,298/302,143/143,198/208,418/428,335/347,165/165,256/268,328/328,249/267
WF,S31T2,563070,3175732,136/136,506/508,270/270,110/122,298/302,143/143,198/210,424/428,335/335,149/163,252/256,328/346,235/255
WF,S31T4,563100,3175719,136/136,506/506,286/286,110/118,302/302,143/143,208/208,422/428,335/345,165/165,268/268,328/336,235/249
WZ,S32T1,626386,3170610,136/136,506/508,NA,110/112,302/302,143/143,198/210,424/428,335/335,165/165,266/266,328/346,235/251
WZ,S32T2,626402,3170634,136/138,508/508,NA,110/118,302/302,143/143,208/208,414/428,335/335,149/165,256/264,332/342,249/251
WZ,S32T3,626438,3170657,136/136,506/506,270/270,110/110,302/302,143/143,198/208,424/428,335/335,149/163,256/256,328/346,235/235
